title	url	year	keyword	anthology_id
{MEISD}: A Multimodal Multi-Label Emotion, Intensity and Sentiment Dialogue Dataset for Emotion Recognition and Sentiment Analysis in Conversations	https://aclanthology.org/2020.coling-main.393	2020	emotion recognition	2020.coling-main.393
Modulated Fusion using Transformer for Linguistic-Acoustic Emotion Recognition	https://aclanthology.org/2020.nlpbt-1.1	2020	emotion recognition	2020.nlpbt-1.1
Knowledge Aware Emotion Recognition in Textual Conversations via Multi-Task Incremental Transformer	https://aclanthology.org/2020.coling-main.392	2020	emotion recognition	2020.coling-main.392
{XED}: A Multilingual Dataset for Sentiment Analysis and Emotion Detection	https://aclanthology.org/2020.coling-main.575	2020	emotion detection	2020.coling-main.575
Multimodal Routing: Improving Local and Global Interpretability of Multimodal Language Analysis	https://aclanthology.org/2020.emnlp-main.143	2020	emotion recognition	2020.emnlp-main.143
Appraisal Theories for Emotion Classification in Text	https://aclanthology.org/2020.coling-main.11	2020	emotion classification	2020.coling-main.11
{M}u{SE}: a Multimodal Dataset of Stressed Emotion	https://aclanthology.org/2020.lrec-1.187	2020	emotion recognition	2020.lrec-1.187
Low Rank Fusion based Transformers for Multimodal Sequences	https://aclanthology.org/2020.challengehml-1.4	2020	emotion recognition	2020.challengehml-1.4
Modality-Transferable Emotion Embeddings for Low-Resource Multimodal Emotion Recognition	https://aclanthology.org/2020.aacl-main.30	2020	emotion recognition	2020.aacl-main.30
An Iterative Emotion Interaction Network for Emotion Recognition in Conversations	https://aclanthology.org/2020.coling-main.360	2020	emotion recognition	2020.coling-main.360
Towards Emotion-aided Multi-modal Dialogue Act Classification	https://aclanthology.org/2020.acl-main.402	2020	emotion recognition	2020.acl-main.402
{G}ood{N}ews{E}veryone: A Corpus of News Headlines Annotated with Emotions, Semantic Roles, and Reader Perception	https://aclanthology.org/2020.lrec-1.194	2020	emotion classification	2020.lrec-1.194
Multilogue-Net: A Context-Aware {RNN} for Multi-modal Emotion Detection and Sentiment Analysis in Conversation	https://aclanthology.org/2020.challengehml-1.3	2020	emotion detection	2020.challengehml-1.3
A Transformer-based joint-encoding for Emotion Recognition and Sentiment Analysis	https://aclanthology.org/2020.challengehml-1.1	2020	emotion recognition	2020.challengehml-1.1
{C}ancer{E}mo: A Dataset for Fine-Grained Emotion Detection	https://aclanthology.org/2020.emnlp-main.715	2020	emotion detection	2020.emnlp-main.715
Systematic Evaluation of a Framework for Unsupervised Emotion Recognition for Narrative Text	https://aclanthology.org/2020.nuse-1.4	2020	emotion recognition	2020.nuse-1.4
Summarize before Aggregate: A Global-to-local Heterogeneous Graph Inference Network for Conversational Emotion Recognition	https://aclanthology.org/2020.coling-main.367	2020	emotion recognition	2020.coling-main.367
A Comprehensive Analysis of Preprocessing for Word Representation Learning in Affective Tasks	https://aclanthology.org/2020.acl-main.514	2020	emotion classification	2020.acl-main.514
{H}i{T}rans: A Transformer-Based Context- and Speaker-Sensitive Model for Emotion Detection in Conversations	https://aclanthology.org/2020.coling-main.370	2020	emotion detection	2020.coling-main.370
{E}mo{E}vent: A Multilingual Emotion Corpus based on different Events	https://aclanthology.org/2020.lrec-1.186	2020	emotion detection	2020.lrec-1.186
Contextualized Emotion Recognition in Conversation as Sequence Tagging	https://aclanthology.org/2020.sigdial-1.23	2020	emotion recognition	2020.sigdial-1.23
{COSMIC}: {CO}mmon{S}ense knowledge for e{M}otion Identification in Conversations	https://aclanthology.org/2020.findings-emnlp.224	2020	emotion recognition	2020.findings-emnlp.224
Relation-aware Graph Attention Networks with Relational Position Encodings for Emotion Recognition in Conversations	https://aclanthology.org/2020.emnlp-main.597	2020	emotion recognition	2020.emnlp-main.597
"Annotated Corpus of Tweets in {E}nglish from Various Domains for Emotion Detection"	https://aclanthology.org/2020.icon-main.62	2020	emotion analysis	2020.icon-main.62
"{G}ood{N}ews{E}veryone: A Corpus of News Headlines Annotated with Emotions, Semantic Roles, and Reader Perception"	https://aclanthology.org/2020.lrec-1.194	2020	emotion analysis	2020.lrec-1.194
